7.2.0.006,8.0.0,Transition notes
Hydronic Low Temp Radiant Cooling Energy,Zone Radiant HVAC Cooling Energy,
Hydronic Low Temp Radiant Cooling Rate,Zone Radiant HVAC Cooling Rate,
Hydronic Low Temp Radiant Heating Energy,Zone Radiant HVAC Heating Energy,
Hydronic Low Temp Radiant Heating Rate,Zone Radiant HVAC Heating Rate,
Hydronic Low Temp Radiant Time Condensation Occurring,Zone Radiant HVAC Moisture Condensation Time,
Hydronic Low Temp Radiant Water Inlet Temp,Zone Radiant HVAC Inlet Temperature,
Hydronic Low Temp Radiant Water Mass Flow,Zone Radiant HVAC Mass Flow Rate,
Hydronic Low Temp Radiant Water Outlet Temp,Zone Radiant HVAC Outlet Temperature,
Ice Thermal Storage Charging Energy,Ice Thermal Storage Cooling Charge Energy,
Ice Thermal Storage Charging Rate,Ice Thermal Storage Cooling Charge Rate,
Ice Thermal Storage Cooling Energy,Ice Thermal Storage Cooling Discharge Energy,
Ice Thermal Storage Cooling Rate,Ice Thermal Storage Cooling Discharge Rate,
Ice Thermal Storage Load Requested,Ice Thermal Storage Requested Load,
Ice Thermal Storage Water Inlet Temp,Ice Thermal Storage Inlet Temperature,
Ice Thermal Storage Water Mass Flow Rate,Ice Thermal Storage Mass Flow Rate,
Ice Thermal Storage Water Outlet Temp,Ice Thermal Storage Outlet Temperature,
ICS Overall Top Heat Loss Coefficient,Solar Collector Overall Top Heat Loss Coefficient,
ICS Solar Collector Absorber Plate Temperature,Solar Collector Absorber Plate Temperature,
ICS Solar Collector Efficiency,Solar Collector Thermal Efficiency,
ICS Solar Collector Heat Transfer Energy,Solar Collector Heat Transfer Energy,
ICS Solar Collector Heat Transfer Rate,Solar Collector Heat Transfer Rate,
ICS Solar Collector Skin Heat Loss Energy,Solar Collector Skin Heat Transfer Energy,
ICS Solar Collector Skin Heat Loss Rate,Solar Collector Skin Heat Transfer Rate,
ICS Solar Collector Stored Heat Energy,Solar Collector Storage Heat Transfer Energy,
ICS Solar Collector Stored Heat Rate,Solar Collector Storage Heat Transfer Rate,
ICS Solar Collector Stored Water Temperature,Solar Collector Storage Water Temperature,
ICS Solar Collector Transmittance-Absorptance Product,Solar Collector Transmittance Absorptance Product,
Ideal Loads Heat Recovery Latent Cooling Energy,Zone Ideal Loads Heat Recovery Latent Cooling Energy,
Ideal Loads Heat Recovery Latent Cooling Rate,Zone Ideal Loads Heat Recovery Latent Cooling Rate,
Ideal Loads Heat Recovery Latent Heating Energy,Zone Ideal Loads Heat Recovery Latent Heating Energy,
Ideal Loads Heat Recovery Latent Heating Rate,Zone Ideal Loads Heat Recovery Latent Heating Rate,
Ideal Loads Heat Recovery Sensible Cooling Energy,Zone Ideal Loads Heat Recovery Sensible Cooling Energy,
Ideal Loads Heat Recovery Sensible Cooling Rate,Zone Ideal Loads Heat Recovery Sensible Cooling Rate,
Ideal Loads Heat Recovery Sensible Heating Energy,Zone Ideal Loads Heat Recovery Sensible Heating Energy,
Ideal Loads Heat Recovery Sensible Heating Rate,Zone Ideal Loads Heat Recovery Sensible Heating Rate,
Ideal Loads Heat Recovery Total Cooling Energy,Zone Ideal Loads Heat Recovery Total Cooling Energy,
Ideal Loads Heat Recovery Total Cooling Rate,Zone Ideal Loads Heat Recovery Total Cooling Rate,
Ideal Loads Heat Recovery Total Heating Energy,Zone Ideal Loads Heat Recovery Total Heating Energy,
Ideal Loads Heat Recovery Total Heating Rate,Zone Ideal Loads Heat Recovery Total Heating Rate,
Ideal Loads Hybrid Ventilation Availability Status,Zone Ideal Loads Hybrid Ventilation Available Status,
Ideal Loads Latent Cooling Energy,Zone Ideal Loads Supply Air Latent Cooling Energy,
Ideal Loads Latent Cooling Rate,Zone Ideal Loads Supply Air Latent Cooling Rate,
Ideal Loads Latent Heating Energy,Zone Ideal Loads Supply Air Latent Heating Energy,
Ideal Loads Latent Heating Rate,Zone Ideal Loads Supply Air Latent Heating Rate,
Ideal Loads Outdoor Air Latent Cooling Energy,Zone Ideal Loads Outdoor Air Latent Cooling Energy,
Ideal Loads Outdoor Air Latent Cooling Rate,Zone Ideal Loads Outdoor Air Latent Cooling Rate,
Ideal Loads Outdoor Air Latent Heating Energy,Zone Ideal Loads Outdoor Air Latent Heating Energy,
Ideal Loads Outdoor Air Latent Heating Rate,Zone Ideal Loads Outdoor Air Latent Heating Rate,
Ideal Loads Outdoor Air Sensible Cooling Energy,Zone Ideal Loads Outdoor Air Sensible Cooling Energy,
Ideal Loads Outdoor Air Sensible Cooling Rate,Zone Ideal Loads Outdoor Air Sensible Cooling Rate,
Ideal Loads Outdoor Air Sensible Heating Energy,Zone Ideal Loads Outdoor Air Sensible Heating Energy,
Ideal Loads Outdoor Air Sensible Heating Rate,Zone Ideal Loads Outdoor Air Sensible Heating Rate,
Ideal Loads Outdoor Air Total Cooling Energy,Zone Ideal Loads Outdoor Air Total Cooling Energy,
Ideal Loads Outdoor Air Total Cooling Rate,Zone Ideal Loads Outdoor Air Total Cooling Rate,
Ideal Loads Outdoor Air Total Heating Energy,Zone Ideal Loads Outdoor Air Total Heating Energy,
Ideal Loads Outdoor Air Total Heating Rate,Zone Ideal Loads Outdoor Air Total Heating Rate,
Ideal Loads Sensible Cooling Energy,Zone Ideal Loads Supply Air Sensible Cooling Energy,
Ideal Loads Sensible Cooling Rate,Zone Ideal Loads Supply Air Sensible Cooling Rate,
Ideal Loads Sensible Heating Energy,Zone Ideal Loads Supply Air Sensible Heating Energy,
Ideal Loads Sensible Heating Rate,Zone Ideal Loads Supply Air Sensible Heating Rate,
Ideal Loads Time Economizer Active,Zone Ideal Loads Economizer Active Time,
Ideal Loads Time Heat Recovery Active,Zone Ideal Loads Heat Recovery Active Time,
Ideal Loads Total Cooling Energy,Zone Ideal Loads Supply Air Total Cooling Energy,
Ideal Loads Total Cooling Rate,Zone Ideal Loads Supply Air Total Cooling Rate,
Ideal Loads Total Heating Energy,Zone Ideal Loads Supply Air Total Heating Energy,
Ideal Loads Total Heating Rate,Zone Ideal Loads Supply Air Total Heating Rate,
Ideal Loads Zone Latent Cooling Energy,Zone Ideal Loads Zone Latent Cooling Energy,
Ideal Loads Zone Latent Cooling Rate,Zone Ideal Loads Zone Latent Cooling Rate,
Ideal Loads Zone Latent Heating Energy,Zone Ideal Loads Zone Latent Heating Energy,
Ideal Loads Zone Latent Heating Rate,Zone Ideal Loads Zone Latent Heating Rate,
Ideal Loads Zone Sensible Cooling Energy,Zone Ideal Loads Zone Sensible Cooling Energy,
Ideal Loads Zone Sensible Cooling Rate,Zone Ideal Loads Zone Sensible Cooling Rate,
Ideal Loads Zone Sensible Heating Energy,Zone Ideal Loads Zone Sensible Heating Energy,
Ideal Loads Zone Sensible Heating Rate,Zone Ideal Loads Zone Sensible Heating Rate,
Ideal Loads Zone Total Cooling Energy,Zone Ideal Loads Zone Total Cooling Energy,
Ideal Loads Zone Total Cooling Rate,Zone Ideal Loads Zone Total Cooling Rate,
Ideal Loads Zone Total Heating Energy,Zone Ideal Loads Zone Total Heating Energy,
Ideal Loads Zone Total Heating Rate,Zone Ideal Loads Zone Total Heating Rate,
IEC RDDSpecial Dewpoint Bound,Evaporative Cooler Dewpoint Bound Status,
Indirect Dry Evap Saturation Efficiency,Evaporative Cooler Wetbulb Effectiveness,
Indirect Dry Evap Total Stage Efficiency,Evaporative Cooler Total Stage Effectiveness,
Indirect Wet Evap Part Load Fract,Evaporative Cooler Part Load Ratio,
Indirect Wet Evap Total Stage Efficiency,Evaporative Cooler Total Stage Effectiveness,
Initial Transmitted Diffuse Solar Absorbed on Inside of Surface,Surface Inside Face Initial Transmitted Diffuse Absorbed Solar Radiation Rate,
Initial Transmitted Diffuse Solar Transmitted Out Through Inside of Window Surface,Surface Inside Face Initial Transmitted Diffuse Transmitted Out Window Solar Radiation Rate,
Inside Divider Condensation Flag,Surface Window Inside Face Divider Condensation Status,
Inside Frame Condensation Flag,Surface Window Inside Face Frame Condensation Status,
Inside Glass Condensation Flag,Surface Window Inside Face Glazing Condensation Status,
Inside Surface Humidity Ratio,EMPD Surface Inside Face Humidity Ratio,
Inside Surface Relative Humidity,EMPD Surface Inside Face Relative Humidity,"Fork, if using EMPD - creating for both EMPD and HAMT"
Inside Surface Relative Humidity,HAMT Surface Inside Face Relative Humidity,"Fork, if using HAMT - creating for both EMPD and HAMT"
Inside Surface Vapor Density,EMPD Surface Inside Face Water Vapor Density,
Inside Temp Setpoint for AirflowNetwork Venting,AFN Surface Venting Inside Setpoint Temperature,
Inverter AC Energy Output,Inverter AC Output Electric Energy,
Inverter AC Power Output,Inverter AC Output Electric Power,
Inverter Ancillary AC Consumed Energy,Inverter Ancillary AC Electric Energy,
Inverter Ancillary AC Consumed Rate,Inverter Ancillary AC Electric Power,
Inverter DC Energy Input,Inverter DC Input Electric Energy,
Inverter DC Power Input,Inverter DC Input Electric Power,
KsuTSV,Zone Thermal Comfort KSU Model Thermal Sensation Vote,
Lights Convective Heat Gain,Lights Convective Heating Energy,
Lights Convective Heat Gain Rate,Lights Convective Heating Rate,
Lights Electric Consumption,Lights Electric Energy,
Lights Radiant Heat Gain,Lights Radiant Heating Energy,
Lights Radiant Heat Gain Rate,Lights Radiant Heating Rate,
Lights Return Air Heat Gain,Lights Return Air Heating Energy,
Lights Return Air Heat Gain Rate,Lights Return Air Heating Rate,
Lights Total Heat Gain,Lights Total Heating Energy,
Lights Total Heat Gain Rate,Lights Total Heating Rate,
Lights Visible Heat Gain,Lights Visible Radiation Heating Energy,
Lights Visible Heat Gain Rate,Lights Visible Radiation Heating Rate,
Liquid Precipitation,Site Precipitation Depth,
Load Center Electric Energy Produced,Electric Load Center Produced Electric Energy,
Load Center Electric Power Produced,Electric Load Center Produced Electric Power,
Load Center Electric Power Request,Electric Load Center Requested Electric Power,
Load Center Thermal Energy Produced,Electric Load Center Produced Thermal Energy,
Load Center Thermal Power Produced,Electric Load Center Produced Thermal Rate,
Loop Losses,Heating Coil Steam Trap Loss Rate,
Ltg Power Multiplier from Daylighting,Daylighting Lighting Power Multiplier,
Luminous Efficacy of Beam Solar Radiation,Site Beam Solar Radiation Luminous Efficacy,
Luminous Efficacy of Sky Diffuse Solar Radiation,Site Sky Diffuse Solar Radiation Luminous Efficacy,
Mains water for DX Cooling Coil Evap Condenser,Cooling Coil Evaporative Condenser Mains Supply Water Volume,
Mains Water for Exterior Equipment,Exterior Equipment Mains Water Volume,
Mains Water Supply for DX Cooling Coil Evap Condenser,Cooling Coil Evaporative Condenser Mains Supply Water Volume,
Mains Water Supply for Equipment,Water Use Equipment Mains Water Volume,
Mains Water Supply for VSAirtoAirHP Cooling Coil Evap Condenser,Cooling Coil Evaporative Condenser Mains Water Volume,
Mains Water Supply for Water Heater,Water Heater Mains Water Volume,
Max SimAir Iterations,Air System Simulation Maximum Iteration Count,
Mundt RoomAir Model Air Node Temp,Room Air Node Air Temperature,
N2O Pollution From Coal,Environmental Impact Coal N2O Emissions Mass,
N2O Pollution From Diesel,Environmental Impact Diesel N2O Emissions Mass,
N2O Pollution From Electricity,Environmental Impact Electricity N2O Emissions Mass,
N2O Pollution From Fuel Oil #1,Environmental Impact Fuel Oil #1 N2O Emissions Mass,
N2O Pollution From Fuel Oil #2,Environmental Impact Fuel Oil #2 N2O Emissions Mass,
N2O Pollution From Gasoline,Environmental Impact Gasoline N2O Emissions Mass,
N2O Pollution From Natural Gas,Environmental Impact Natural Gas N2O Emissions Mass,
N2O Pollution From Propane,Environmental Impact Propane N2O Emissions Mass,
Net Electric Energy Purchased,Facility Net Purchased Electric Energy,
Net Electric Power Purchased,Facility Net Purchased Electric Power,
NH3 Pollution From Coal,Environmental Impact Coal NH3 Emissions Mass,
NH3 Pollution From Diesel,Environmental Impact Diesel NH3 Emissions Mass,
NH3 Pollution From Electricity,Environmental Impact Electricity NH3 Emissions Mass,
NH3 Pollution From Fuel Oil #1,Environmental Impact Fuel Oil #1 NH3 Emissions Mass,
NH3 Pollution From Fuel Oil #2,Environmental Impact Fuel Oil #2 NH3 Emissions Mass,
NH3 Pollution From Gasoline,Environmental Impact Gasoline NH3 Emissions Mass,
NH3 Pollution From Natural Gas,Environmental Impact Natural Gas NH3 Emissions Mass,
NH3 Pollution From Propane,Environmental Impact Propane NH3 Emissions Mass,
NMVOC Pollution From Coal,Environmental Impact Coal NMVOC Emissions Mass,
NMVOC Pollution From Diesel,Environmental Impact Diesel NMVOC Emissions Mass,
NMVOC Pollution From Electricity,Environmental Impact Electricity NMVOC Emissions Mass,
NMVOC Pollution From Fuel Oil #1,Environmental Impact Fuel Oil #1 NMVOC Emissions Mass,
NMVOC Pollution From Fuel Oil #2,Environmental Impact Fuel Oil #2 NMVOC Emissions Mass,
NMVOC Pollution From Gasoline,Environmental Impact Gasoline NMVOC Emissions Mass,
NMVOC Pollution From Natural Gas,Environmental Impact Natural Gas NMVOC Emissions Mass,
NMVOC Pollution From Propane,Environmental Impact Propane NMVOC Emissions Mass,
NOx Pollution From Coal,Environmental Impact Coal NOx Emissions Mass,
NOx Pollution From Diesel,Environmental Impact Diesel NOx Emissions Mass,
NOx Pollution From Electricity,Environmental Impact Electricity NOx Emissions Mass,
NOx Pollution From Fuel Oil #1,Environmental Impact Fuel Oil #1 NOx Emissions Mass,
NOx Pollution From Fuel Oil #2,Environmental Impact Fuel Oil #2 NOx Emissions Mass,
NOx Pollution From Gasoline,Environmental Impact Gasoline NOx Emissions Mass,
NOx Pollution From Natural Gas,Environmental Impact Natural Gas NOx Emissions Mass,
NOx Pollution From Propane,Environmental Impact Propane NOx Emissions Mass,
Nuclear High Level Waste From Coal,Environmental Impact Coal Nuclear High Level Waste Mass,
Nuclear High Level Waste From Diesel,Environmental Impact Diesel Nuclear High Level Waste Mass,
Nuclear High Level Waste From Electricity,Environmental Impact Electricity Nuclear High Level Waste Mass,
Nuclear High Level Waste From Fuel Oil #1,Environmental Impact Fuel Oil #1 Nuclear High Level Waste Mass,
Nuclear High Level Waste From Fuel Oil #2,Environmental Impact Fuel Oil #2 Nuclear High Level Waste Mass,
Nuclear High Level Waste From Gasoline,Environmental Impact Gasoline Nuclear High Level Waste Mass,
Nuclear High Level Waste From Natural Gas,Environmental Impact Natural Gas Nuclear High Level Waste Mass,
Nuclear High Level Waste From Propane,Environmental Impact Propane Nuclear High Level Waste Mass,
Nuclear Low Level Waste From Coal,Environmental Impact Coal Nuclear Low Level Waste Volume,
Nuclear Low Level Waste From Diesel,Environmental Impact Diesel Nuclear Low Level Waste Volume,
Nuclear Low Level Waste From Electricity,Environmental Impact Electricity Nuclear Low Level Waste Volume,
Nuclear Low Level Waste From Fuel Oil #1,Environmental Impact Fuel Oil #1 Nuclear Low Level Waste Volume,
Nuclear Low Level Waste From Fuel Oil #2,Environmental Impact Fuel Oil #2 Nuclear Low Level Waste Volume,
Nuclear Low Level Waste From Gasoline,Environmental Impact Gasoline Nuclear Low Level Waste Volume,
Nuclear Low Level Waste From Natural Gas,Environmental Impact Natural Gas Nuclear Low Level Waste Volume,
Nuclear Low Level Waste From Propane,Environmental Impact Propane Nuclear Low Level Waste Volume,
Number of Cells Operating,Cooling Tower Operating Cells Count,
Number of Pumps Operating in Pump Bank,Pump Operating Pumps Count,
On/Off Fan Runtime Fraction,Fan Runtime Fraction,
Opaque Surface Inside Face Beam Solar Absorbed,Surface Inside Face Beam Solar Radiation Heat Gain Rate,
Opening Factor Multiplier for Venting Modulation,AFN Surface Venting Window or Door Opening Modulation Multiplier,
